Operação,Semestre,Abertura,Fechamento,Dias,Retorno total,Ticker 1,Ticker 2,Converged,Index,Retorno total - exp
2,6,61,111,50,-0.20751209750131028,ELET6,PTIP4,True,ELET6-PTIP4-2,0.8126034112428031
3,6,112,131,19,0.048452191478586704,ELET6,PTIP4,False,ELET6-PTIP4-3,1.0496451886362654
1,6,120,131,11,0.16820930658748168,BBDC4,CMIG4,False,BBDC4-CMIG4-1,1.183184232986582
1,6,8,58,50,-0.41835428953501885,BBAS3,ARCE4,True,BBAS3-ARCE4-1,0.6581290188913326
2,6,59,109,50,-0.08954615560693202,BBAS3,ARCE4,True,BBAS3-ARCE4-2,0.9143460619529202
3,6,110,131,21,-0.0623038705899297,BBAS3,ARCE4,False,BBAS3-ARCE4-3,0.9395973274125606
1,7,96,129,33,0.037418002827190655,BRTP4,TNLP4,False,BRTP4-TNLP4-1,1.0381268701234203
1,7,55,105,50,0.019413022092798826,EBEN4,BBAS4,True,EBEN4-BBAS4-1,1.0196026800965283
1,7,103,129,26,-0.018029333224190758,BRTP3,TNLP3,False,BRTP3-TNLP3-1,0.9821322228310874
1,7,8,58,50,-0.10060547250746332,CMIG4,CPLE6,True,CMIG4-CPLE6-1,0.9042897296774683
2,7,59,109,50,-0.03695281573086795,CMIG4,CPLE6,True,CMIG4-CPLE6-2,0.9637216067759394
3,7,110,129,19,0.058799524755822064,CMIG4,CPLE6,False,CMIG4-CPLE6-3,1.0605626028797794
1,7,64,114,50,0.12158260880130933,BBDC3,BMTO4,True,BBDC3-BMTO4-1,1.129282650758149
2,7,115,129,14,-0.1352853890771183,BBDC3,BMTO4,False,BBDC3-BMTO4-2,0.873466598287687
1,7,27,77,50,0.04638223569367478,VALE3,SDIA4,True,VALE3-SDIA4-1,1.0474747166714309
2,7,79,129,50,-0.23117566258487154,VALE3,SDIA4,True,VALE3-SDIA4-2,0.7936000479545532
1,7,1,51,50,-0.07809043509029023,ITUB4,CRUZ3,True,ITUB4-CRUZ3-1,0.9248807810844089
2,7,52,102,50,-0.07942879930845542,ITUB4,CRUZ3,True,ITUB4-CRUZ3-2,0.9236437817034362
3,7,103,129,26,-0.18468583942984867,ITUB4,CRUZ3,False,ITUB4-CRUZ3-3,0.8313654250657844
1,7,1,51,50,0.21086633327191295,POMO4,RCTB31,True,POMO4-RCTB31-1,1.23474729939889
2,7,57,102,45,0.26188064823301316,POMO4,RCTB31,True,POMO4-RCTB31-2,1.2993714508957048
1,7,28,78,50,-0.05016121821566277,CPSL3,TCSL4,True,CPSL3-TCSL4-1,0.9510760813513967
2,7,79,104,25,0.4331067476998751,CPSL3,TCSL4,True,CPSL3-TCSL4-2,1.5420408212258918
1,7,36,49,13,0.07454496263945432,ELET6,CLSC4,True,ELET6-CLSC4-1,1.0773937849015216
1,8,14,64,50,-0.17798963006816823,VALE3,TBLE6,True,VALE3-TBLE6-1,0.8369511025696474
2,8,65,115,50,-0.012965180857399172,VALE3,TBLE6,True,VALE3-TBLE6-2,0.9871185050419078
3,8,116,129,13,0.10321703816287858,VALE3,TBLE6,False,VALE3-TBLE6-3,1.1087320201249453
1,8,1,34,33,0.0678627667596694,ELET6,CLSC4,True,ELET6-CLSC4-1,1.070218428857768
2,8,78,87,9,0.09421268033495855,ELET6,CLSC4,True,ELET6-CLSC4-2,1.098793412819204
3,8,108,129,21,-0.04865136249675217,ELET6,CLSC4,False,ELET6-CLSC4-3,0.9525131536248359
1,8,3,53,50,-0.07713708889223536,CLSC4,DURA4,True,CLSC4-DURA4-1,0.9257629330920276
2,8,54,104,50,0.09105360226781145,CLSC4,DURA4,True,CLSC4-DURA4-2,1.095327715734504
3,8,105,129,24,-0.08504051825941583,CLSC4,DURA4,False,CLSC4-DURA4-3,0.9184750686364055
1,8,5,55,50,-0.21098335622436593,AMBV4,CRUZ3,True,AMBV4-CRUZ3-1,0.8097875446913203
2,8,56,106,50,-0.0688519094898552,AMBV4,CRUZ3,True,AMBV4-CRUZ3-2,0.9334649071371917
3,8,107,129,22,-0.05021616346766067,AMBV4,CRUZ3,False,AMBV4-CRUZ3-3,0.9510238256720516
1,8,33,83,50,0.004053011887246827,ELET6,DURA4,True,ELET6-DURA4-1,1.0040612364475856
1,8,1,51,50,-0.09860428668950805,BRTP4,TNLP4,True,BRTP4-TNLP4-1,0.9061011933930327
2,8,52,102,50,-0.19081419933385257,BRTP4,TNLP4,True,BRTP4-TNLP4-2,0.8262860983971098
3,8,103,129,26,0.15392803057212667,BRTP4,TNLP4,False,BRTP4-TNLP4-3,1.1664069381176034
1,8,1,51,50,-0.10462933915124953,PETR4,PETR3,True,PETR4-PETR3-1,0.9006582994931527
2,8,52,102,50,-0.017552461218436677,PETR4,PETR3,True,PETR4-PETR3-2,0.9826006858836847
3,8,103,129,26,0.0018914651526567017,PETR4,PETR3,False,PETR4-PETR3-3,1.0018932551012325
1,8,63,106,43,0.13094873276542618,KLBN4,RCTB31,True,KLBN4-RCTB31-1,1.1399093398144189
1,8,63,113,50,-0.14084039032002632,BBDC4,GOAU4,True,BBDC4-GOAU4-1,0.8686279420618482
2,8,114,129,15,-0.10780141857204434,BBDC4,GOAU4,False,BBDC4-GOAU4-2,0.8978058663002633
1,8,1,51,50,0.013546842210026,BRTP3,TNLP3,True,BRTP3-TNLP3-1,1.0136390164298619
2,8,52,102,50,-0.1391463426140227,BRTP3,TNLP3,True,BRTP3-TNLP3-2,0.8701006863317883
3,8,103,129,26,0.17018390523888005,BRTP3,TNLP3,False,BRTP3-TNLP3-3,1.185522855137601
1,9,28,78,50,-0.04737040425350347,CLSC4,PMAM4,True,CLSC4-PMAM4-1,0.9537340650020761
2,9,79,88,9,0.2118704142479806,CLSC4,PMAM4,True,CLSC4-PMAM4-2,1.2359877083037465
3,9,101,129,28,-0.028113912312736522,CLSC4,PMAM4,False,CLSC4-PMAM4-3,0.97227760610213
1,9,1,51,50,-0.13173573447850995,ELET6,CLSC4,True,ELET6-CLSC4-1,0.8765726123923281
2,9,52,102,50,0.1352666023926885,ELET6,CLSC4,True,ELET6-CLSC4-2,1.1448419612751841
3,9,103,129,26,-0.044039901433665096,ELET6,CLSC4,False,ELET6-CLSC4-3,0.9569157743999768
1,9,38,88,50,-0.006956423053174066,CPLE6,CRUZ3,True,CPLE6-CRUZ3-1,0.9930677168494474
2,9,93,129,36,-0.09469303441513033,CPLE6,CRUZ3,False,CPLE6-CRUZ3-2,0.9096521235114468
1,9,24,74,50,-0.07156829248357621,GOAU4,CRUZ3,True,GOAU4-CRUZ3-1,0.9309326997178349
2,9,75,125,50,-0.13726046170508915,GOAU4,CRUZ3,True,GOAU4-CRUZ3-2,0.8717431408550171
3,9,126,129,3,0.012140691542761206,GOAU4,CRUZ3,False,GOAU4-CRUZ3-3,1.0122146888947892
1,9,25,75,50,-0.06592174177686799,GOAU4,GETI4,True,GOAU4-GETI4-1,0.9362041270963484
2,9,76,126,50,-0.06580281076218403,GOAU4,GETI4,True,GOAU4-GETI4-2,0.9363154774245078
