Data,CDI Acumulado,IBOV
1996-05-30,0.0009930445306873814,0.011020850738574728
1996-05-31,0.0010100105226025224,0.00706788332717978
1996-06-03,0.0010170095690851255,-0.01621885856945815
1996-06-04,0.0010229527339178368,-0.006317657497781903
1996-06-05,0.001207067352386737,-0.005643461799478278
1996-06-06,0.0005299742948430275,-0.0033765580660226613
1996-06-07,0.0005296935708662964,-0.0033879978374481423
1996-06-10,0.001072990959951614,-0.013218328451050532
1996-06-11,0.0010730414259347842,-0.008007916292536499
1996-06-12,0.001073004832811586,0.021982487900395364
1996-06-13,0.0010729671675300256,-0.005187622008531512
1996-06-14,0.0010730138282077917,0.02382033904464298
1996-06-17,0.001072973760214202,0.03016965997018506
1996-06-18,0.0010560440372309188,0.0051336824696803784
1996-06-19,0.0010669439369863642,-0.002999348712850902
